package_name,banned_versions,severity,weekly_downloads,first_detected,patient_zero,description,attack_vector,priority
02-echo,0.0.7,medium,1000,2025-11-21,false,Compromised package: 02-echo,preinstall script (Shai-Hulud 2.0),3
@accordproject/concerto-analysis,3.24.1,medium,1000,2025-11-21,false,Compromised package: @accordproject/concerto-analysis,preinstall script (Shai-Hulud 2.0),3
@accordproject/concerto-linter,3.24.1,medium,1000,2025-11-21,false,Compromised package: @accordproject/concerto-linter,preinstall script (Shai-Hulud 2.0),3
@accordproject/concerto-linter-default-ruleset,3.24.1,medium,1000,2025-11-21,false,Compromised package: @accordproject/concerto-linter-default-ruleset,preinstall script (Shai-Hulud 2.0),3
@accordproject/concerto-metamodel,3.12.5,medium,1000,2025-11-21,false,Compromised package: @accordproject/concerto-metamodel,preinstall script (Shai-Hulud 2.0),3
@accordproject/concerto-types,3.24.1,medium,1000,2025-11-21,false,Compromised package: @accordproject/concerto-types,preinstall script (Shai-Hulud 2.0),3
@accordproject/markdown-it-cicero,0.16.26,medium,1000,2025-11-21,false,Compromised package: @accordproject/markdown-it-cicero,preinstall script (Shai-Hulud 2.0),3
@accordproject/template-engine,2.7.2,medium,1000,2025-11-21,false,Compromised package: @accordproject/template-engine,preinstall script (Shai-Hulud 2.0),3
@actbase/css-to-react-native-transform,1.0.3,medium,1000,2025-11-21,false,Compromised package: @actbase/css-to-react-native-transform,preinstall script (Shai-Hulud 2.0),3
@actbase/native,0.1.32,medium,1000,2025-11-21,false,Compromised package: @actbase/native,preinstall script (Shai-Hulud 2.0),3
@actbase/node-server,1.1.19,medium,1000,2025-11-21,false,Compromised package: @actbase/node-server,preinstall script (Shai-Hulud 2.0),3
@actbase/react-absolute,0.8.3,medium,1000,2025-11-21,false,Compromised package: @actbase/react-absolute,preinstall script (Shai-Hulud 2.0),3
@actbase/react-daum-postcode,1.0.5,medium,1000,2025-11-21,false,Compromised package: @actbase/react-daum-postcode,preinstall script (Shai-Hulud 2.0),3
@actbase/react-kakaosdk,0.9.27,medium,1000,2025-11-21,false,Compromised package: @actbase/react-kakaosdk,preinstall script (Shai-Hulud 2.0),3
@actbase/react-native-actionsheet,1.0.3,medium,1000,2025-11-21,false,Compromised package: @actbase/react-native-actionsheet,preinstall script (Shai-Hulud 2.0),3
@actbase/react-native-devtools,0.1.3,medium,1000,2025-11-21,false,Compromised package: @actbase/react-native-devtools,preinstall script (Shai-Hulud 2.0),3
@actbase/react-native-fast-image,8.5.13,medium,1000,2025-11-21,false,Compromised package: @actbase/react-native-fast-image,preinstall script (Shai-Hulud 2.0),3
@actbase/react-native-kakao-channel,1.0.2,medium,1000,2025-11-21,false,Compromised package: @actbase/react-native-kakao-channel,preinstall script (Shai-Hulud 2.0),3
@actbase/react-native-kakao-navi,2.0.4,medium,1000,2025-11-21,false,Compromised package: @actbase/react-native-kakao-navi,preinstall script (Shai-Hulud 2.0),3
@actbase/react-native-less-transformer,1.0.6,medium,1000,2025-11-21,false,Compromised package: @actbase/react-native-less-transformer,preinstall script (Shai-Hulud 2.0),3
@actbase/react-native-naver-login,1.0.1,medium,1000,2025-11-21,false,Compromised package: @actbase/react-native-naver-login,preinstall script (Shai-Hulud 2.0),3
@actbase/react-native-simple-video,1.0.13,medium,1000,2025-11-21,false,Compromised package: @actbase/react-native-simple-video,preinstall script (Shai-Hulud 2.0),3
@actbase/react-native-tiktok,1.1.3,medium,1000,2025-11-21,false,Compromised package: @actbase/react-native-tiktok,preinstall script (Shai-Hulud 2.0),3
@ahmedhfarag/ngx-perfect-scrollbar,20.0.20,medium,1000,2025-11-21,false,Compromised package: @ahmedhfarag/ngx-perfect-scrollbar,preinstall script (Shai-Hulud 2.0),3
@ahmedhfarag/ngx-virtual-scroller,4.0.4,medium,1000,2025-11-21,false,Compromised package: @ahmedhfarag/ngx-virtual-scroller,preinstall script (Shai-Hulud 2.0),3
@alexcolls/nuxt-socket.io,"0.0.7, 0.0.8",medium,1000,2025-11-21,false,Compromised package: @alexcolls/nuxt-socket.io,preinstall script (Shai-Hulud 2.0),3
@alexcolls/nuxt-ux,"0.6.1, 0.6.2",medium,1000,2025-11-21,false,Compromised package: @alexcolls/nuxt-ux,preinstall script (Shai-Hulud 2.0),3
@antstackio/eslint-config-antstack,0.0.3,medium,1000,2025-11-21,false,Compromised package: @antstackio/eslint-config-antstack,preinstall script (Shai-Hulud 2.0),3
@antstackio/express-graphql-proxy,0.2.8,medium,1000,2025-11-21,false,Compromised package: @antstackio/express-graphql-proxy,preinstall script (Shai-Hulud 2.0),3
@antstackio/graphql-body-parser,0.1.1,medium,1000,2025-11-21,false,Compromised package: @antstackio/graphql-body-parser,preinstall script (Shai-Hulud 2.0),3
@antstackio/json-to-graphql,1.0.3,medium,1000,2025-11-21,false,Compromised package: @antstackio/json-to-graphql,preinstall script (Shai-Hulud 2.0),3
@antstackio/shelbysam,1.1.7,medium,1000,2025-11-21,false,Compromised package: @antstackio/shelbysam,preinstall script (Shai-Hulud 2.0),3
@art-ws/common,"2.0.22, 2.0.28",medium,1000,2025-11-21,false,Compromised package: @art-ws/common,preinstall script (Shai-Hulud 2.0),3
@art-ws/config-eslint,"2.0.4, 2.0.5",medium,1000,2025-11-21,false,Compromised package: @art-ws/config-eslint,preinstall script (Shai-Hulud 2.0),3
@art-ws/config-ts,"2.0.7, 2.0.8",medium,1000,2025-11-21,false,Compromised package: @art-ws/config-ts,preinstall script (Shai-Hulud 2.0),3
@art-ws/db-context,"2.0.21, 2.0.24",medium,1000,2025-11-21,false,Compromised package: @art-ws/db-context,preinstall script (Shai-Hulud 2.0),3
@art-ws/di,"2.0.28, 2.0.32",medium,1000,2025-11-21,false,Compromised package: @art-ws/di,preinstall script (Shai-Hulud 2.0),3
@art-ws/di-node,2.0.13,medium,1000,2025-11-21,false,Compromised package: @art-ws/di-node,preinstall script (Shai-Hulud 2.0),3
@art-ws/eslint,"1.0.5, 1.0.6",medium,1000,2025-11-21,false,Compromised package: @art-ws/eslint,preinstall script (Shai-Hulud 2.0),3
@art-ws/fastify-http-server,"2.0.24, 2.0.27",medium,1000,2025-11-21,false,Compromised package: @art-ws/fastify-http-server,preinstall script (Shai-Hulud 2.0),3
@art-ws/http-server,"2.0.21, 2.0.25",medium,1000,2025-11-21,false,Compromised package: @art-ws/http-server,preinstall script (Shai-Hulud 2.0),3
@art-ws/openapi,"0.1.12, 0.1.9",medium,1000,2025-11-21,false,Compromised package: @art-ws/openapi,preinstall script (Shai-Hulud 2.0),3
@art-ws/package-base,"1.0.5, 1.0.6",medium,1000,2025-11-21,false,Compromised package: @art-ws/package-base,preinstall script (Shai-Hulud 2.0),3
@art-ws/prettier,"1.0.5, 1.0.6",medium,1000,2025-11-21,false,Compromised package: @art-ws/prettier,preinstall script (Shai-Hulud 2.0),3
@art-ws/slf,"2.0.15, 2.0.22",medium,1000,2025-11-21,false,Compromised package: @art-ws/slf,preinstall script (Shai-Hulud 2.0),3
@art-ws/ssl-info,"1.0.10, 1.0.9",medium,1000,2025-11-21,false,Compromised package: @art-ws/ssl-info,preinstall script (Shai-Hulud 2.0),3
@art-ws/web-app,"1.0.3, 1.0.4",medium,1000,2025-11-21,false,Compromised package: @art-ws/web-app,preinstall script (Shai-Hulud 2.0),3
@aryanhussain/my-angular-lib,0.0.23,medium,1000,2025-11-21,false,Compromised package: @aryanhussain/my-angular-lib,preinstall script (Shai-Hulud 2.0),3
@asyncapi/dotnet-rabbitmq-template,"1.0.1, 1.0.2",medium,1000,2025-11-21,false,Compromised package: @asyncapi/dotnet-rabbitmq-template,preinstall script (Shai-Hulud 2.0),3
